mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
31.601034069061278,1.39401489409476,0.05524148941040039,0.0036924647257918384,3,5,1,2,"{'max_depth': 3, 'max_leaf_nodes': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
31.319761419296263,1.5266510297792113,0.06811747550964356,0.014186608551617292,3,5,1,5,"{'max_depth': 3, 'max_leaf_nodes': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
32.26381378173828,0.8407234193413514,0.06130380630493164,0.009370887066102472,3,5,1,10,"{'max_depth': 3, 'max_leaf_nodes': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
32.225743198394774,1.3368499372251645,0.06782302856445313,0.011003038053606891,3,5,2,2,"{'max_depth': 3, 'max_leaf_nodes': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
31.187369298934936,1.2670246407179626,0.061931514739990236,0.013598177713356203,3,5,2,5,"{'max_depth': 3, 'max_leaf_nodes': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
30.212542486190795,0.9316395715247268,0.04262323379516601,0.007718797221090539,3,5,2,10,"{'max_depth': 3, 'max_leaf_nodes': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
30.380469036102294,0.6519848316974912,0.04365758895874024,0.0050168628900342585,3,5,4,2,"{'max_depth': 3, 'max_leaf_nodes': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
30.56266565322876,0.4680272856230945,0.04949827194213867,0.015287016198807193,3,5,4,5,"{'max_depth': 3, 'max_leaf_nodes': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
30.58862509727478,0.5013558361709927,0.05313119888305664,0.005300865460761884,3,5,4,10,"{'max_depth': 3, 'max_leaf_nodes': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
30.545606470108034,0.8543393063094096,0.04851002693176269,0.006672792012853888,3,10,1,2,"{'max_depth': 3, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.2261,0.2282,0.2277,0.2295,0.2315,0.2286,0.001813284313062907,55
